,10.3.1 no MKL,,10.3.1 MKL (1 core),,10.3.1 MKL (4 cores),,,
K,time,gflops,time,gflops,time,gflops,perf gain (1 core),perf gain (4 cores)
64,7.8328,0.9728322,0.4524,16.8435,0.159,47.92452,17.31388152,49.26288418
80,9.3682,1.018339,0.5928,16.09312,0.1966,48.52492,15.80330634,47.65104744
96,23.2844,0.492175,0.6334,18.09283,0.2308,49.65338,36.76097253,100.88562
104,35.857,0.3463759,0.677,18.34564,0.2402,51.70691,52.96454948,149.2797565
112,32.8942,0.4067586,0.7114,18.80798,0.3058,43.75409,46.23868428,107.5677072
120,48.7794,0.2939766,0.7614,18.83373,0.2964,48.38056,64.06540583,164.5728265
128,36.8762,0.4149018,0.8048,19.01093,0.3276,46.7033,45.82032803,112.5647081
144,58.914,0.2922905,0.9048,19.03183,0.3744,45.99359,65.1127321,157.3557471
160,72.0166,0.2657721,1.0016,19.10943,0.368,52.01087,71.90155751,195.6972534
176,66.6438,0.3160084,1.092,19.28571,0.4148,50.77145,61.02912088,160.6648747
192,77.3976,0.2969084,1.1792,19.48779,0.6146,37.39017,65.63568521,125.9316678
200,126.9254,0.1886147,1.248,19.18269,0.4494,53.27103,101.7030449,282.4330765
208,128.1418,0.194316,1.3104,19.00183,0.4556,54.65321,97.78830891,281.2594434
224,139.4548,0.1923204,1.5694,17.08933,0.5242,51.16368,88.8586721,266.0335565
240,174.8234,0.1643945,1.8814,15.27586,0.5148,55.8275,92.921973,339.5946945
256,173.2886,0.1769303,1.8346,16.71209,0.5616,54.59402,94.45579418,308.5622983
384,332.929,0.1382277,3.6598,12.57446,0.805,57.1677,90.96917864,413.5762948
